1622883867.0524626,"!AIVDM,1,1,,B,33ev>H0Oh:0BA?@MfPS0APnf012A,0*52
"
1622883867.068181,"!AIVDM,1,1,,B,138b>F001F0BSqnMgtJ;Apvn0D>p,0*70
"
1622883867.0786405,"!AIVDM,1,1,,B,33:BN>3Oh?PBKC<MgtBrSrhn00r1,0*2A
"
1622883867.0890577,"!AIVDM,1,1,,B,133stVPP19PBombMgB<`@wvj2<7C,0*5A
"
1622883867.0994134,"!AIVDM,1,1,,B,?02E3M@rfD>PD00,2*1B
"
1622883867.109669,"!AIVDM,1,1,,A,13e>vt400gPBeEHMgFEe6rHj8D@b,0*20
"
1622883867.1309218,"!AIVDM,1,1,,B,139Fnw0001PBgknMfvJHma<n058@,0*4C
"
1622883867.2118907,"!AIVDM,1,1,,A,33Eocf0OhsPBfM6Mg5j@@@<j226h,0*5F
"
1622883867.2757957,"$GPRMC,090427.00,A,5157.43250,N,00402.09724,E,0.031,,050621,,,A*72
"
1622883867.3164237,"$GPVTG,,T,,M,0.031,N,0.057,K,A*23
"
1622883867.3735485,"!AIVDM,1,1,,B,13aC580P010BfLlMfBO73?vjP<35,0*36
"
1622883867.3906755,"$GPGGA,090427.00,5157.43250,N,00402.09724,E,1,08,1.03,7.2,M,45.9,M,,*5B
"
1622883867.439851,"!AIVDM,1,1,,A,13aSQ700000BbBPMfQNMw:hp08?w,0*1E
"
1622883867.4528844,"$GPGSA,A,3,25,29,02,31,04,18,26,20,,,,,1.73,1.03,1.39*09
"
1622883867.5057607,"!AIVDM,1,1,,A,133tj7PP000BN92Mf1e9BwvpR58@,0*63
"
1622883867.5217931,"$GPGSV,3,1,11,02,19,040,41,04,10,331,26,05,04,094,16,12,14,102,*7E
"
1622883867.5730119,"!AIVDM,1,1,,B,?02E3M@rfD>QP00,2*0E
"
1622883867.5858266,"$GPGSV,3,2,11,16,03,283,22,18,19,172,41,20,07,102,23,25,50,105,42*72
"
1622883867.637198,"!AIVDM,1,1,,A,13aDpshP1APBq4pMg?<TlwvlR<<t,0*37
"
1622883867.6889083,"$GPGSV,3,3,11,26,29,288,40,29,85,115,42,31,59,268,46*45
"
1622883867.7050226,"$GPGLL,5157.43250,N,00402.09724,E,090427.00,A,A*69
"
1622883867.715762,"!AIVDM,1,1,,B,34SHkL80000BQ;8Mg@iS;a:p02lQ,0*49
"
1622883867.7308986,"!AIVDM,1,1,,A,13aBN`hP0N0BFW4MfhNca?wbPTqp,0*18
"
1622883867.7417321,"!AIVDM,1,1,,B,13aEQ8hP00PBw<BMfLEv4?vn28@<,0*78
"
1622883867.7768176,"!AIVDM,1,1,,A,139vu<P01S0BdoHMg5<Prhfj058@,0*09
"
